2025-04-17 23:09:12,852 - WARNING - Failed to fetch statistics for match 3373081151, but will continue processing
2025-04-17 23:09:16,759 - WARNING - Failed to fetch statistics for match 3406639671, but will continue processing
2025-04-17 23:09:20,616 - WARNING - Failed to fetch statistics for match 3388569607, but will continue processing
2025-04-17 23:09:24,475 - WARNING - Failed to fetch statistics for match 3406639701, but will continue processing
2025-04-17 23:09:28,355 - WARNING - Failed to fetch statistics for match 3726753944, but will continue processing
2025-04-17 23:09:32,163 - WARNING - Failed to fetch statistics for match 3726753953, but will continue processing
2025-04-17 23:09:36,021 - WARNING - Failed to fetch statistics for match 3726753930, but will continue processing
2025-04-17 23:09:39,901 - WARNING - Failed to fetch statistics for match 3726753963, but will continue processing
2025-04-17 23:09:43,862 - WARNING - Failed to fetch statistics for match 3761607668, but will continue processing
2025-04-17 23:09:47,701 - WARNING - Failed to fetch statistics for match 3782262276, but will continue processing
2025-04-17 23:09:51,562 - WARNING - Failed to fetch statistics for match 3761607706, but will continue processing
2025-04-17 23:09:55,489 - WARNING - Failed to fetch statistics for match 3761607653, but will continue processing
2025-04-17 23:10:01,816 - WARNING - Failed to fetch statistics for match 2375636661, but will continue processing
2025-04-17 23:10:05,691 - WARNING - Failed to fetch statistics for match 2375636662, but will continue processing
2025-04-17 23:10:11,386 - WARNING - Failed to fetch statistics for match 2375636663, but will continue processing
2025-04-17 23:10:15,281 - WARNING - Failed to fetch statistics for match 2375636664, but will continue processing
2025-04-17 23:10:19,170 - WARNING - Failed to fetch statistics for match 2375636665, but will continue processing
2025-04-17 23:10:23,050 - WARNING - Failed to fetch statistics for match 2375636666, but will continue processing
2025-04-17 23:10:26,964 - WARNING - Failed to fetch statistics for match 2375636667, but will continue processing
2025-04-17 23:10:30,749 - WARNING - Failed to fetch statistics for match 2375636668, but will continue processing
2025-04-17 23:10:34,630 - WARNING - Failed to fetch statistics for match 2375636669, but will continue processing
2025-04-17 23:10:38,384 - WARNING - Failed to fetch statistics for match 2375636670, but will continue processing
2025-04-17 23:10:42,211 - WARNING - Failed to fetch statistics for match 2375636671, but will continue processing
2025-04-17 23:10:47,062 - WARNING - Failed to fetch statistics for match 2375636672, but will continue processing
2025-04-17 23:10:50,870 - WARNING - Failed to fetch statistics for match 2375636673, but will continue processing
2025-04-17 23:10:54,774 - WARNING - Failed to fetch statistics for match 2375636674, but will continue processing
2025-04-17 23:11:00,477 - WARNING - Failed to fetch statistics for match 2375636675, but will continue processing
2025-04-17 23:11:06,133 - WARNING - Failed to fetch statistics for match 2375636676, but will continue processing
2025-04-17 23:11:42,960 - WARNING - Failed to fetch statistics for match 3307258252, but will continue processing
2025-04-17 23:11:46,945 - WARNING - Failed to fetch statistics for match 3156266384, but will continue processing
2025-04-17 23:11:50,834 - WARNING - Failed to fetch statistics for match 3156266397, but will continue processing
2025-04-17 23:11:57,267 - WARNING - Failed to fetch statistics for match 3173042713, but will continue processing
2025-04-17 23:12:01,128 - WARNING - Failed to fetch statistics for match 3173042706, but will continue processing
2025-04-17 23:12:04,981 - WARNING - Failed to fetch statistics for match 3210467249, but will continue processing
2025-04-17 23:12:10,754 - WARNING - Failed to fetch statistics for match 3210467250, but will continue processing
2025-04-17 23:12:14,596 - WARNING - Failed to fetch statistics for match 3210467238, but will continue processing
2025-04-17 23:12:18,462 - WARNING - Failed to fetch statistics for match 3277575071, but will continue processing
2025-04-17 23:12:22,379 - WARNING - Failed to fetch statistics for match 3251764191, but will continue processing
2025-04-17 23:12:26,202 - WARNING - Failed to fetch statistics for match 3251764184, but will continue processing
